Name,breakfast,lunch,dinner,veg\nonveg,calories,fats,saturatedfats,sodium,carbohydrates,fiber,sugar,protein
Tomato Poha,1,0,0,0,237.8,13.2,1.8,1259.3,27.6,5.1,7,5.5
Kaandha Poha (Maharashtrian Potato-Onion Beaten Rice),1,0,0,0,258.2,7.7,1,17.5,47.2,8.6,6.1,6.4
Bread Poha,1,0,0,0,273.7,17.4,2.4,1407.3,23.6,3,3.6,8.2
 Veggie Pilaf,1,0,0,0,129.2,9.6,1.6,11.4,9.9,1.4,1.9,2
Vegetable Poha,1,0,0,0,130.5,4.9,0.7,1202.1,18.9,3.8,5.3,5.2
Biryani,0,1,1,0,1110.7,58.8,16.6,368.4,84.4,9,20.4,63.4
hyderabadi Chicken Biryani,0,1,1,1,763.3,32.6,7.5,437.1,72.2,6.8,9.8,45.9
Vegetable Biryani,0,1,1,0,336.7,8.9,1.3,309.3,58.6,6.3,9.3,7.6
Chicken Biryani ,0,1,1,1,338.7,28.3,5.5,265.4,9.2,1.1,4.3,12.6
Kuska Biryani ,0,1,1,0,656.8,21.9,3,37.3,106.3,7.2,16.4,12.7
soyabean Biryani ,0,1,1,0,167.4,4.3,2.2,97.9,0.4,0,0.1,27.3
Mughlai Biryani ,0,1,1,1,1468.7,82.4,33.2,316.7,126.9,8.5,24.2,59.1
Chicken Tikka Biryani Recipe,0,1,1,1,3475.3,227.3,43.6,2803,234.9,11.1,21.7,119.5
My Biryani,0,1,1,1,242.9,7.5,4.2,357.9,37.9,3,3,6.7
Low-Fat Berry Blue Frozen Dessert,0,0,1,0,170.9,2.5,1.3,29.8,37.1,3.6,30.2,3.2
Biryani Masala,0,1,1,1,339.2,10,1.5,11564,70.7,24,30.6,10.7
Chicken Biryani by Chef Montaser,0,1,1,1,749.2,16.1,5.7,635.7,86.2,4.2,18.2,62.6
Fish Biryani - Seabream,0,1,1,1,544,14.2,4.1,1537.7,91,3.1,5.9,11.9
Chicken Biryani,0,1,1,1,252.3,8.6,1.6,2823.4,36.7,1.9,2.6,6.8
